x0,x1,x10,x11,x12,x13,x14,x15,x16,x17,x2,x3,x4,x5,x6,x7,x8,x9,y0,y1,y10,y11,y12,y13,y14,y15,y16,y17,y2,y3,y4,y5,y6,y7,y8,y9
0.55,0.50,,0.54,0.55,,0.54,0.56,0.51,,0.46,0.50,0.53,0.53,0.61,0.65,0.48,0.47,0.22,0.30,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.39,0.26,0.31,0.38,0.28,0.60,0.86
0.55,0.50,,0.54,0.56,,0.55,0.56,0.51,,0.46,0.50,0.53,0.54,0.62,0.66,0.48,0.47,0.22,0.30,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.26,0.31,0.35,0.27,0.60,0.86
0.55,0.50,,0.55,0.56,,0.54,0.56,0.51,,0.46,0.50,0.53,0.55,0.62,0.68,0.48,0.47,0.22,0.30,,0.60,0.84,,0.21,0.21,0.20,,0.28,0.38,0.26,0.31,0.33,0.25,0.60,0.86
0.55,0.50,,0.54,0.56,,0.54,0.56,0.51,,0.46,0.50,0.53,0.55,0.63,0.69,0.48,0.47,0.22,0.30,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.26,0.31,0.31,0.23,0.60,0.86
0.55,0.51,,0.54,0.56,,0.55,0.56,0.51,,0.46,0.50,0.53,0.55,0.63,0.70,0.48,0.47,0.22,0.29,,0.60,0.84,,0.20,0.21,0.20,,0.28,0.38,0.25,0.30,0.29,0.23,0.60,0.85
0.55,0.51,,0.55,0.56,,0.55,0.56,0.51,,0.46,0.49,0.53,0.56,0.63,0.71,0.48,0.47,0.22,0.29,,0.60,0.84,,0.20,0.21,0.20,,0.28,0.37,0.25,0.30,0.28,0.22,0.60,0.85
0.53,0.51,,0.55,0.56,,0.52,0.54,0.50,0.55,0.46,0.46,0.50,0.56,0.62,0.64,0.47,0.47,0.22,0.29,,0.61,0.87,,0.20,0.21,0.20,0.21,0.29,0.39,0.28,0.30,0.23,0.14,0.61,0.87
0.53,0.51,,0.55,0.56,,0.52,0.55,0.50,0.56,0.46,0.46,0.50,0.56,0.62,0.65,0.47,0.47,0.22,0.29,,0.61,0.87,,0.20,0.21,0.20,0.21,0.29,0.39,0.29,0.29,0.21,0.11,0.61,0.87
0.53,0.51,,0.55,0.56,,0.52,0.55,0.50,0.56,0.46,0.46,0.50,0.55,0.62,0.66,0.47,0.47,0.22,0.29,,0.61,0.87,,0.20,0.21,0.19,0.21,0.29,0.39,0.28,0.29,0.19,0.09,0.61,0.86
0.53,0.51,,0.55,0.56,,0.52,0.55,0.50,0.56,0.46,0.46,0.50,0.55,0.61,0.66,0.47,0.47,0.22,0.29,,0.61,0.87,,0.20,0.21,0.20,0.21,0.29,0.38,0.28,0.29,0.18,0.08,0.61,0.86
