estimator,C,alpha,gamma,kernel,lambda,learning_rate,max_depth,max_score,mean_score,min_samples_leaf,min_samples_split,min_score,n_estimators,n_jobs,n_neighbors,penalty,std_score,subsample
ExtraTrees,,,,,,,14.0,0.9981017463933182,0.9972158947102,2.0,3.0,0.996962794229309,100.0,,,,0.005784744241022221,
XGBoost,,0.8999999999999999,0.8999999999999999,,0.8999999999999999,0.7000000000000001,3.0,0.9971526195899773,0.9960136674259682,,,0.9946848899012908,150.0,4.0,,,0.0015907118564890837,0.5
GradientBoosting,,,,,,1.0,3.0,0.9963933181473045,0.9956340167046318,,,0.994874715261959,140.0,,,,0.027797301164663966,
KNN,,,,,,,,0.9956340167046317,0.9951910908630727,,,0.9946848899012908,,,21.0,,0.0018855561156354375,
RandomForest,,,,,,,10.0,0.9962034927866363,0.9950012655024044,,4.0,0.9933561123766135,100.0,,,,0.00871314718072206,
BaggedDecisionTree,,,,,,,,0.9903189066059226,0.9885472032396861,,,0.9857630979498861,100.0,,,,0.0027566465338891492,
DecisionTree,,,,,,,14.0,0.981586940015186,0.9798785117691723,2.0,3.0,0.9770311313591495,,,,,0.017612547593678633,
LogisticRegression,0.9500000000000001,,,,,,,0.9060364464692483,0.9006580612503164,,,0.8942672741078208,,,,l2,0.006513957738107399,
SVM,0.9500000000000001,,,rbf,,,,0.8978739559605163,0.8928752214629206,,,0.8889521640091116,,,,,0.004744368345521535,
AdaBoost,,,,,,1.0,,0.8230827638572513,0.808719311566692,,,0.7997342444950646,150.0,,,,0.044686662142949134,
